County,Zipcode,Rent Arrears Applications,Prospective Rent Applications,Utility Arrears Applications,Household Income
New York,10001,408,322,50,"$92,840 "
New York,10002,"1,260",991,110,"$36,982 "
New York,10003,302,257,58,"$118,161 "
New York,10004,37,28,1,"$190,223 "
New York,10005,80,69,7,"$189,702 "
New York,10006,40,31,5,"$179,044 "
New York,10007,29,22,4,"$224,063 "
New York,10009,902,708,136,"$63,717 "
New York,10010,190,142,19,"$132,988 "
New York,10011,423,339,59,"$138,272 "
New York,10012,169,134,29,"$106,467 "
New York,10013,165,137,27,"$113,191 "
New York,10014,201,169,30,"$133,501 "
New York,10016,423,348,49,"$126,628 "
New York,10017,97,85,17,"$131,045 "
New York,10018,133,98,28,"$122,484 "
New York,10019,679,556,105,"$103,792 "
New York,10020,1,1,,
New York,10021,200,171,33,"$122,169 "
New York,10022,162,136,25,"$150,718 "
New York,10023,407,320,51,"$132,605 "
New York,10024,361,293,45,"$143,623 "
New York,10025,"1,166",915,162,"$91,624 "
New York,10026,"1,183",875,246,"$59,691 "
New York,10027,"1,827","1,433",337,"$51,938 "
New York,10028,312,258,51,"$122,969 "
New York,10029,"2,358","1,776",287,"$33,720 "
New York,10030,"1,362","1,048",318,"$42,348 "
New York,10031,"1,775","1,424",457,"$53,660 "
New York,10032,"1,588","1,293",356,"$53,525 "
New York,10033,"1,465","1,213",311,"$63,093 "
New York,10034,"1,296","1,039",303,"$54,406 "
New York,10035,"1,395","1,084",239,"$29,799 "
New York,10036,686,552,93,"$95,301 "
New York,10037,919,697,152,"$46,263 "
New York,10038,233,184,16,"$95,702 "
New York,10039,"1,312","1,024",250,"$42,278 "
New York,10040,"1,255","1,020",330,"$49,677 "
New York,10044,155,125,5,"$104,808 "
New York,10065,197,168,34,"$148,441 "
New York,10069,83,68,19,"$132,500 "
New York,10075,128,105,21,"$138,640 "
New York,10128,453,350,71,"$121,829 "
New York,10162,13,12,1,
New York,10165,1,1,,
New York,10169,1,,,
New York,10199,3,2,,
New York,10280,64,50,8,"$182,760 "
New York,10282,17,16,,"$250,001 "
Richmond,10301,829,676,179,"$62,052 "
Richmond,10302,310,261,74,"$66,096 "
Richmond,10303,519,411,84,"$67,215 "
Richmond,10304,886,677,180,"$54,199 "
Richmond,10305,385,306,72,"$79,742 "
Richmond,10306,423,348,96,"$80,834 "
Richmond,10307,67,55,22,"$85,103 "
Richmond,10308,125,97,24,"$103,027 "
Richmond,10309,132,111,39,"$109,457 "
Richmond,10310,382,300,88,"$76,075 "
Richmond,10312,218,179,57,"$97,407 "
Richmond,10314,570,463,129,"$91,505 "
Bronx,10451,"2,607","1,991",520,"$30,349 "
Bronx,10452,"3,687","2,916",941,"$29,579 "
Bronx,10453,"4,411","3,568","1,008","$29,136 "
Bronx,10454,"1,586","1,217",262,"$21,447 "
Bronx,10455,"1,943","1,503",421,"$28,585 "
Bronx,10456,"4,476","3,457",989,"$27,917 "
Bronx,10457,"4,124","3,294",968,"$29,767 "
Bronx,10458,"3,845","3,080",935,"$35,423 "
Bronx,10459,"2,301","1,779",632,"$29,284 "
Bronx,10460,"3,299","2,599",727,"$27,545 "
Bronx,10461,"1,113",923,262,"$58,305 "
Bronx,10462,"2,325","1,951",509,"$54,278 "
Bronx,10463,"1,450","1,205",365,"$58,408 "
New York,10463,326,246,53,
Bronx,10464,58,46,10,"$96,366 "
Bronx,10465,563,438,81,"$75,617 "
Bronx,10466,"2,065","1,675",387,"$58,393 "
Bronx,10467,"4,171","3,339",956,"$39,372 "
Bronx,10468,"3,369","2,662",899,"$37,804 "
Bronx,10469,"1,365","1,105",209,"$65,399 "
Bronx,10470,398,324,89,"$61,266 "
Bronx,10471,216,174,44,"$88,722 "
Bronx,10472,"2,280","1,783",454,"$33,498 "
Bronx,10473,"1,831","1,404",245,"$41,508 "
Bronx,10474,528,451,114,"$22,965 "
Bronx,10475,457,361,21,"$51,951 "
Bronx,10550,1,,,
Bronx,10705,1,1,,
Queens,11001,28,21,5,"$113,300 "
Queens,11004,51,43,10,"$95,436 "
Queens,11040,7,6,,
Queens,11101,728,552,86,"$75,581 "
Queens,11102,626,513,92,"$71,382 "
Queens,11103,640,516,112,"$76,234 "
Queens,11104,482,399,86,"$67,751 "
Queens,11105,533,430,90,"$79,883 "
Queens,11106,737,602,80,"$68,530 "
Queens,11109,40,33,7,"$160,625 "
Kings,11201,572,457,63,"$129,248 "
Kings,11203,"2,002","1,611",481,"$54,457 "
Kings,11204,833,721,175,"$53,093 "
Kings,11205,906,728,130,"$58,872 "
Kings,11206,"2,283","1,811",346,"$39,753 "
Kings,11207,"3,531","2,727",645,"$39,382 "
Kings,11208,"3,401","2,723",528,"$42,403 "
Kings,11209,"1,010",846,196,"$77,917 "
Kings,11210,"1,317","1,036",206,"$69,385 "
Kings,11211,"1,587","1,360",320,"$81,228 "
Kings,11212,"3,622","2,833",598,"$26,521 "
Kings,11213,"2,249","1,835",519,"$44,831 "
Kings,11214,"1,097",912,207,"$56,911 "
Kings,11215,291,242,63,"$132,091 "
Kings,11216,"1,522","1,144",294,"$67,795 "
Kings,11217,629,496,88,"$119,375 "
Kings,11218,"1,054",887,203,"$73,470 "
Kings,11219,"1,657","1,507",411,"$40,683 "
Kings,11220,"1,101",908,200,"$50,191 "
Kings,11221,"2,441","1,981",463,"$56,900 "
Kings,11222,426,350,79,"$93,488 "
Kings,11223,943,789,125,"$54,023 "
Kings,11224,"1,099",859,86,"$32,549 "
Kings,11225,"1,563","1,270",346,"$59,820 "
Kings,11226,"3,194","2,623",830,"$58,257 "
Kings,11228,295,254,52,"$72,902 "
Kings,11229,"1,030",823,143,"$64,631 "
Kings,11230,"1,417","1,191",283,"$53,070 "
Kings,11231,586,443,61,"$99,643 "
Kings,11232,357,298,89,"$61,200 "
Kings,11233,"2,862","2,233",592,"$44,905 "
Kings,11234,"1,004",810,162,"$85,807 "
Kings,11235,"1,036",878,172,"$54,646 "
Kings,11236,"1,998","1,553",299,"$70,793 "
Kings,11237,953,787,201,"$53,303 "
Queens,11237,1,1,,
Kings,11238,905,714,182,"$91,846 "
Kings,11239,491,379,45,"$29,172 "
Queens,11354,700,568,95,"$40,786 "
Queens,11355,"1,058",873,151,"$42,507 "
Queens,11356,368,302,71,"$61,859 "
Queens,11357,194,158,24,"$85,818 "
Queens,11358,355,302,59,"$68,848 "
Queens,11359,1,1,,
Queens,11360,78,64,18,"$83,063 "
Queens,11361,217,177,33,"$87,892 "
Queens,11362,48,39,4,"$93,333 "
Queens,11363,37,32,2,"$101,019 "
Queens,11364,173,148,36,"$82,028 "
Queens,11365,589,467,59,"$67,642 "
Queens,11366,106,88,16,"$84,301 "
Queens,11367,568,460,73,"$63,546 "
Queens,11368,"2,067","1,670",483,"$54,211 "
Queens,11369,578,463,85,"$54,184 "
Queens,11370,368,300,50,"$63,706 "
Queens,11371,1,1,,
Queens,11372,"1,186",983,255,"$60,659 "
Queens,11373,"1,552","1,281",279,"$54,584 "
Queens,11374,583,495,112,"$66,795 "
Queens,11375,571,497,89,"$84,713 "
Queens,11377,"1,482","1,232",219,"$58,948 "
Queens,11378,396,336,64,"$77,710 "
Queens,11379,295,240,55,"$83,883 "
Queens,11385,"1,344","1,088",242,"$75,340 "
Queens,11411,199,151,22,"$98,207 "
Queens,11412,605,478,93,"$81,608 "
Queens,11413,629,511,101,"$93,432 "
Queens,11414,195,155,33,"$75,471 "
Queens,11415,316,269,72,"$70,900 "
Queens,11416,508,396,76,"$73,370 "
Queens,11417,447,370,59,"$76,868 "
Queens,11418,620,512,106,"$68,920 "
Queens,11419,548,438,84,"$75,835 "
Queens,11420,604,496,95,"$79,273 "
Queens,11421,591,467,95,"$73,107 "
Queens,11422,413,338,86,"$88,130 "
Queens,11423,544,437,102,"$71,194 "
Queens,11424,1,1,,
Queens,11426,97,80,14,"$98,987 "
Queens,11427,249,196,38,"$79,385 "
Queens,11428,203,158,29,"$78,368 "
Queens,11429,318,251,53,"$88,300 "
Queens,11432,"1,481","1,246",292,"$62,148 "
Queens,11433,947,751,133,"$54,253 "
Queens,11434,"1,332","1,081",193,"$64,087 "
Queens,11435,"1,052",828,194,"$66,137 "
Queens,11436,336,262,60,"$75,222 "
Queens,11691,"1,888","1,485",344,"$50,267 "
Queens,11692,863,676,59,"$46,819 "
Queens,11693,273,214,41,"$60,569 "
Queens,11694,271,216,48,"$84,485 "
Queens,11697,1,,,"$105,750 "
Bronx,Unspecified Zip,123,105,28,
