Residential/Commercial,Residential,
,,
Row Labels,Count of Executed Date,Count of Residential/Commercial
0,3,3
10000,1,1
10001,151,151
10002,246,246
10003,104,104
10004,13,13
10005,45,45
10006,18,18
10007,8,8
10009,265,265
10010,75,75
10011,121,121
10012,76,76
10013,66,66
10014,85,85
10016,153,153
10017,56,56
10018,58,58
10019,283,283
10020,1,1
10021,102,102
10022,124,124
10023,134,134
10024,115,115
10025,315,315
10026,271,271
10027,359,359
10028,103,103
10029,563,563
10030,384,384
10031,474,474
10032,485,485
10033,445,445
10034,363,363
10035,349,349
10036,253,253
10037,369,369
10038,60,60
10039,376,376
10040,317,317
10044,32,32
10065,104,104
10069,11,11
10075,55,55
10101,1,1
10128,150,150
10162,3,3
10280,22,22
10282,7,7
10301,363,363
10302,121,121
10303,245,245
10304,430,430
10305,140,140
10306,174,174
10307,43,43
10308,42,42
10309,70,70
10310,157,157
10312,83,83
10314,186,186
10335,1,1
10423,1,1
10424,1,1
10451,889,889
10452,1213,1213
10453,1605,1605
10454,420,420
10455,616,616
10456,1684,1684
10457,1396,1396
10458,1751,1751
10459,1021,1021
10460,1321,1321
10461,379,379
10462,976,976
10463,607,607
10464,27,27
10465,150,150
10466,1114,1114
10467,1765,1765
10468,1311,1311
10469,602,602
10470,246,246
10471,123,123
10472,957,957
10473,510,510
10474,256,256
10475,271,271
11001,5,5
11004,16,16
11017,1,1
11024,1,1
11039,1,1
11040,8,8
11101,163,163
11102,136,136
11103,135,135
11104,141,141
11105,119,119
11106,171,171
11109,35,35
11137,2,2
11201,180,180
11203,933,933
11204,204,204
11205,221,221
11206,406,406
11207,1288,1288
11208,1294,1294
11209,335,335
11210,661,661
11211,180,180
11212,1293,1293
11213,853,853
11214,334,334
11215,85,85
11216,499,499
11217,141,141
11218,216,216
11219,182,182
11220,267,267
11221,748,748
11222,91,91
11223,287,287
11224,347,347
11225,601,601
11226,1248,1248
11228,83,83
11229,301,301
11230,377,377
11231,85,85
11232,71,71
11233,1131,1131
11234,424,424
11235,440,440
11236,815,815
11237,223,223
11238,267,267
11239,192,192
11240,1,1
11242,1,1
11249,94,94
11266,1,1
11272,1,1
11306,1,1
11354,282,282
11355,296,296
11356,122,122
11357,61,61
11358,83,83
11359,2,2
11360,46,46
11361,62,62
11362,18,18
11363,15,15
11364,64,64
11365,206,206
11366,29,29
11367,213,213
11368,657,657
11369,120,120
11370,72,72
11372,319,319
11373,343,343
11374,187,187
11375,208,208
11377,306,306
11378,119,119
11379,72,72
11384,4,4
11385,427,427
11411,95,95
11412,297,297
11413,327,327
11414,92,92
11415,152,152
11416,180,180
11417,175,175
11418,217,217
11419,212,212
11420,272,272
11421,200,200
11422,230,230
11423,251,251
11424,3,3
11426,40,40
11427,103,103
11428,100,100
11429,211,211
11430,1,1
11432,474,474
11433,447,447
11434,577,577
11435,433,433
11436,174,174
11439,2,2
11443,1,1
11514,1,1
11575,2,2
11619,1,1
11691,856,856
11692,359,359
11693,104,104
11694,135,135
11698,1,1
12221,1,1
Grand Total,60836,60836
