,"New York, NY",07002,07008,07020,07024,07036,07064,07077,07202,07206,07305,07620,07632,07670,08861,10001,10002,10003,10004,10005,10006,10007,10009,10010,10011,10012,10013,10014,10016,10017,10018,10019,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10044,10065,10069,10075,10128,10162,10279,10280,10282,10301,10302,10303,10304,10305,10306,10308,10310,10312,10451,10453,10455,10457,10459,10461,10463,10465,10467,10469,10471,10472,10473,10474,10475,10550,10704,10705,10803,11001,11003,11004,11005,11020,11021,11040,11042,11096,11101,11102,11103,11104,11105,11106,11109,11201,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11213,11214,11215,11216,11217,11218,11219,11220,11221,11222,11223,11224,11225,11226,11228,11229,11230,11231,11232,11233,11234,11235,11236,11237,11238,11239,11354,11355,11356,11357,11358,11360,11361,11362,11363,11364,11365,11366,11367,11368,11369,11370,11372,11373,11374,11375,11377,11378,11379,11385,11411,11412,11413,11414,11415,11416,11417,11418,11419,11420,11421,11422,11423,11426,11427,11428,11429,11430,11432,11433,11434,11435,11436,11509,11559,11580,11581,11691,11692,11693,11694,11697
Total:,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
"Speak English ""very well"" TOTAL",26.03%,31.49%,38.32%,36.94%,31.43%,30.48%,27.03%,15.01%,35.72%,29.36%,26.37%,25.36%,38.36%,30.52%,45.30%,19.58%,22.89%,15.57%,20.68%,21.20%,22.96%,20.74%,22.13%,18.97%,17.17%,17.09%,16.10%,13.32%,21.15%,23.34%,24.43%,27.80%,18.48%,19.33%,20.91%,16.73%,23.69%,25.40%,27.77%,20.92%,33.09%,19.96%,31.86%,33.98%,34.09%,36.61%,30.26%,26.42%,20.64%,20.19%,24.25%,34.93%,34.72%,21.45%,26.89%,26.33%,26.15%,21.74%,0.00%,30.72%,20.18%,19.92%,27.88%,31.26%,25.36%,27.25%,20.48%,13.88%,22.99%,13.23%,32.02%,34.98%,39.28%,36.26%,38.91%,34.28%,32.56%,28.73%,32.40%,25.90%,23.85%,34.68%,37.18%,30.36%,20.94%,14.46%,28.55%,33.30%,14.70%,18.87%,28.45%,32.52%,7.45%,28.29%,23.07%,31.64%,9.88%,19.13%,26.33%,28.16%,31.74%,31.92%,33.56%,29.91%,26.11%,17.80%,12.65%,35.61%,24.56%,32.92%,20.41%,33.87%,26.94%,20.59%,33.62%,12.66%,16.30%,24.19%,17.33%,13.72%,18.91%,28.88%,37.59%,22.84%,21.36%,20.44%,21.78%,18.14%,19.72%,22.51%,27.96%,24.01%,24.23%,17.14%,28.89%,13.84%,21.50%,23.58%,15.79%,36.45%,16.16%,13.92%,15.94%,16.74%,19.37%,25.77%,23.59%,26.29%,27.85%,29.16%,29.70%,26.78%,29.23%,34.71%,27.85%,32.29%,31.93%,29.27%,33.26%,35.57%,36.52%,35.12%,32.07%,32.97%,30.13%,34.02%,14.53%,8.19%,8.05%,22.35%,33.33%,35.82%,34.06%,31.41%,21.84%,21.27%,38.08%,16.58%,24.35%,34.63%,32.22%,23.47%,16.75%,21.78%,36.03%,11.53%,6.33%,24.46%,11.41%,10.55%,20.55%,24.54%,22.77%,21.29%,19.09%,22.18%,14.55%,3.02%
"Speak English less than ""very well"" TOTAL ",22.47%,16.77%,17.92%,17.31%,25.76%,19.34%,10.17%,11.23%,41.85%,45.42%,16.16%,15.24%,16.67%,12.29%,33.42%,12.64%,38.32%,4.87%,1.30%,2.63%,4.59%,5.42%,13.39%,6.63%,4.31%,7.54%,19.39%,0.78%,7.52%,7.36%,16.16%,9.85%,3.99%,4.19%,5.10%,5.11%,13.07%,9.30%,11.64%,3.00%,18.97%,13.79%,24.98%,35.92%,37.36%,34.29%,16.22%,11.25%,9.94%,19.61%,16.02%,37.41%,17.85%,5.52%,13.21%,5.07%,4.71%,0.00%,0.00%,4.83%,6.51%,11.29%,12.28%,13.14%,13.86%,19.48%,12.66%,7.73%,10.95%,6.44%,28.63%,35.93%,31.16%,32.62%,28.46%,20.27%,21.50%,12.02%,26.53%,13.57%,10.96%,32.10%,15.66%,31.77%,12.63%,9.91%,12.11%,25.12%,4.76%,13.72%,15.43%,14.22%,1.31%,18.47%,15.99%,16.47%,8.70%,30.13%,19.68%,23.14%,20.68%,29.84%,18.94%,23.70%,18.25%,6.34%,7.36%,41.22%,15.44%,22.76%,12.38%,15.95%,17.75%,11.96%,20.66%,8.96%,8.10%,48.67%,5.27%,5.22%,6.62%,24.11%,39.87%,60.53%,14.89%,14.75%,40.23%,41.31%,7.99%,14.31%,32.24%,33.30%,29.98%,7.94%,35.11%,5.75%,13.67%,51.45%,8.87%,28.37%,4.95%,23.26%,62.45%,69.20%,50.91%,23.56%,44.23%,24.52%,28.24%,26.20%,18.05%,30.86%,31.19%,30.65%,29.12%,55.28%,40.90%,33.18%,46.06%,51.50%,31.90%,21.96%,43.11%,24.94%,18.96%,24.67%,5.78%,5.72%,4.71%,10.22%,20.65%,24.42%,19.83%,30.33%,17.33%,11.83%,31.74%,7.75%,16.98%,22.49%,23.62%,20.48%,14.76%,15.35%,30.68%,17.10%,4.27%,32.12%,7.41%,1.96%,5.57%,15.62%,13.73%,13.77%,12.69%,17.57%,6.79%,0.33%
Speak only English,51.50%,51.74%,43.76%,45.75%,42.81%,50.18%,62.80%,73.76%,22.42%,25.22%,57.47%,59.40%,44.98%,57.19%,21.28%,67.77%,38.79%,79.56%,78.02%,76.17%,72.46%,73.84%,64.48%,74.40%,78.52%,75.37%,64.51%,85.90%,71.34%,69.30%,59.42%,62.35%,77.53%,76.48%,73.99%,78.17%,63.24%,65.29%,60.59%,76.08%,47.94%,66.25%,43.16%,30.11%,28.55%,29.10%,53.52%,62.32%,69.42%,60.21%,59.73%,27.67%,47.43%,73.03%,59.90%,68.60%,69.13%,78.26%,100.00%,64.45%,73.31%,68.79%,59.84%,55.60%,60.78%,53.27%,66.86%,78.39%,66.05%,80.33%,39.35%,29.09%,29.57%,31.13%,32.63%,45.45%,45.94%,59.25%,41.07%,60.53%,65.20%,33.22%,47.17%,37.86%,66.44%,75.63%,59.34%,41.58%,80.54%,67.41%,56.11%,53.26%,91.25%,53.24%,60.94%,51.89%,81.42%,50.75%,53.99%,48.70%,47.58%,38.24%,47.50%,46.39%,55.64%,75.86%,80.00%,23.17%,60.00%,44.33%,67.22%,50.18%,55.31%,67.45%,45.73%,78.38%,75.60%,27.13%,77.40%,81.06%,74.47%,47.01%,22.55%,16.63%,63.76%,64.81%,38.00%,40.55%,72.29%,63.18%,39.80%,42.69%,45.79%,74.92%,36.00%,80.40%,64.84%,24.97%,75.34%,35.18%,78.89%,62.82%,21.61%,14.05%,29.72%,50.66%,32.18%,49.19%,43.91%,44.64%,52.26%,42.36%,39.58%,34.64%,43.03%,12.43%,27.18%,37.54%,20.68%,12.93%,31.58%,42.92%,24.83%,42.09%,50.91%,41.31%,79.69%,86.09%,87.24%,67.43%,46.03%,39.76%,46.11%,38.26%,60.83%,66.90%,30.17%,75.67%,58.67%,42.89%,44.16%,56.05%,68.50%,62.87%,33.29%,71.37%,89.40%,43.42%,81.18%,87.49%,73.88%,59.84%,63.50%,64.94%,68.22%,60.25%,78.65%,96.66%
Spanish:,24.06%,24.74%,31.89%,9.04%,8.31%,27.07%,16.46%,20.97%,66.36%,67.10%,21.51%,5.74%,3.39%,5.80%,75.25%,10.80%,18.01%,5.47%,2.06%,4.02%,5.62%,9.57%,17.03%,8.76%,8.79%,4.43%,3.08%,3.90%,5.29%,4.74%,11.37%,12.07%,5.36%,6.16%,8.30%,8.62%,19.09%,16.92%,21.50%,5.46%,37.65%,21.70%,45.24%,61.99%,62.85%,63.64%,37.42%,16.46%,18.08%,7.96%,26.72%,64.18%,7.55%,7.21%,3.05%,14.66%,9.94%,6.82%,0.00%,7.51%,5.65%,15.60%,29.17%,28.82%,15.41%,9.05%,8.59%,3.63%,21.08%,4.03%,52.24%,62.27%,63.63%,60.20%,59.74%,33.33%,41.67%,29.78%,44.12%,23.49%,18.65%,54.59%,46.92%,51.96%,22.65%,14.08%,21.16%,48.43%,6.01%,7.97%,16.79%,6.13%,1.48%,2.78%,3.47%,10.75%,4.15%,42.53%,20.89%,22.72%,20.04%,25.78%,15.88%,20.44%,5.08%,7.83%,5.39%,9.22%,14.15%,31.16%,26.64%,37.12%,11.27%,4.82%,20.05%,14.89%,8.85%,13.48%,9.90%,7.34%,13.58%,14.26%,12.22%,37.65%,28.06%,11.43%,11.30%,12.41%,7.70%,14.88%,8.77%,7.39%,8.17%,12.56%,42.40%,11.76%,8.26%,6.02%,5.97%,55.70%,8.17%,11.55%,12.48%,14.30%,34.00%,10.54%,12.95%,6.88%,9.31%,7.56%,9.43%,7.47%,13.53%,9.25%,12.72%,72.68%,57.84%,31.56%,53.90%,39.43%,13.56%,12.24%,33.41%,26.69%,14.09%,32.94%,4.57%,3.90%,3.73%,15.78%,21.09%,35.56%,29.99%,40.01%,15.10%,20.09%,49.34%,9.02%,11.71%,16.29%,15.84%,21.64%,10.64%,31.68%,20.77%,14.14%,4.16%,27.65%,11.35%,1.70%,10.68%,19.83%,13.25%,22.10%,17.73%,19.77%,11.79%,0.38%
"Speak English ""very well""",13.25%,16.78%,22.77%,7.34%,5.61%,16.56%,11.94%,11.07%,30.35%,24.31%,12.96%,4.85%,2.41%,3.82%,43.13%,7.79%,11.25%,4.39%,1.83%,3.01%,4.99%,6.54%,11.39%,6.78%,6.96%,2.73%,2.63%,3.44%,4.05%,4.68%,6.94%,8.49%,3.75%,5.54%,6.69%,6.24%,10.86%,12.17%,15.22%,4.59%,24.36%,11.85%,23.07%,28.07%,27.99%,31.58%,23.56%,10.82%,10.53%,5.23%,15.31%,28.74%,4.86%,6.17%,1.59%,13.18%,8.61%,6.82%,0.00%,6.82%,3.52%,10.38%,20.01%,20.88%,10.79%,6.50%,6.48%,3.14%,13.97%,3.36%,27.80%,30.10%,35.03%,30.63%,33.56%,22.99%,24.40%,22.15%,24.52%,15.68%,13.20%,28.43%,32.92%,24.58%,13.44%,8.27%,15.42%,26.76%,4.75%,4.50%,9.18%,4.69%,1.14%,1.38%,2.18%,7.03%,2.77%,16.08%,11.65%,11.26%,11.63%,14.23%,9.62%,10.88%,4.13%,5.96%,3.43%,4.48%,8.97%,18.62%,16.13%,25.15%,7.05%,3.29%,12.44%,8.63%,5.43%,4.42%,6.58%,5.58%,9.04%,7.99%,5.52%,12.18%,15.90%,7.75%,4.61%,5.57%,5.54%,9.49%,5.07%,4.11%,4.21%,7.44%,21.38%,8.18%,5.88%,2.30%,4.67%,30.59%,6.07%,8.76%,3.77%,4.34%,10.29%,6.45%,6.04%,4.99%,6.97%,4.12%,6.32%,4.86%,9.09%,5.23%,7.21%,25.40%,25.47%,14.16%,21.13%,14.66%,7.74%,8.87%,13.82%,17.32%,9.45%,19.81%,3.43%,2.84%,2.37%,10.31%,13.21%,22.94%,20.31%,19.74%,9.09%,13.72%,27.99%,6.04%,5.78%,11.31%,9.76%,11.90%,6.30%,21.78%,10.19%,7.00%,2.75%,12.00%,7.21%,1.43%,6.41%,11.95%,8.69%,12.68%,10.21%,12.76%,7.82%,0.38%
"Speak English less than ""very well""",10.82%,7.95%,9.12%,1.70%,2.70%,10.52%,4.52%,9.90%,36.01%,42.79%,8.55%,0.89%,0.98%,1.99%,32.12%,3.01%,6.76%,1.08%,0.22%,1.01%,0.64%,3.04%,5.65%,1.98%,1.83%,1.70%,0.45%,0.47%,1.25%,0.07%,4.43%,3.58%,1.61%,0.62%,1.61%,2.38%,8.23%,4.75%,6.28%,0.87%,13.29%,9.86%,22.17%,33.91%,34.85%,32.07%,13.86%,5.64%,7.55%,2.73%,11.41%,35.44%,2.69%,1.04%,1.46%,1.48%,1.33%,0.00%,0.00%,0.69%,2.13%,5.22%,9.16%,7.94%,4.62%,2.55%,2.11%,0.49%,7.10%,0.67%,24.44%,32.17%,28.60%,29.58%,26.18%,10.34%,17.27%,7.63%,19.60%,7.80%,5.45%,26.16%,13.99%,27.38%,9.21%,5.81%,5.74%,21.67%,1.25%,3.47%,7.61%,1.45%,0.34%,1.40%,1.29%,3.72%,1.38%,26.45%,9.23%,11.46%,8.41%,11.55%,6.25%,9.56%,0.95%,1.87%,1.95%,4.73%,5.19%,12.54%,10.51%,11.97%,4.22%,1.53%,7.61%,6.26%,3.42%,9.06%,3.32%,1.75%,4.54%,6.27%,6.70%,25.46%,12.16%,3.69%,6.69%,6.84%,2.16%,5.39%,3.70%,3.28%,3.96%,5.13%,21.02%,3.58%,2.38%,3.73%,1.30%,25.11%,2.11%,2.79%,8.71%,9.96%,23.71%,4.10%,6.90%,1.90%,2.34%,3.44%,3.11%,2.60%,4.44%,4.03%,5.51%,47.29%,32.37%,17.40%,32.77%,24.77%,5.82%,3.37%,19.59%,9.38%,4.63%,13.13%,1.15%,1.06%,1.36%,5.47%,7.89%,12.63%,9.68%,20.27%,6.02%,6.37%,21.35%,2.98%,5.93%,4.98%,6.09%,9.74%,4.34%,9.90%,10.59%,7.14%,1.41%,15.64%,4.15%,0.27%,4.27%,7.88%,4.56%,9.42%,7.52%,7.01%,3.97%,0.00%
"French, Haitian, or Cajun:",2.33%,1.36%,0.64%,0.51%,0.96%,5.75%,0.00%,0.08%,3.87%,0.52%,2.27%,0.34%,0.19%,0.53%,0.13%,1.46%,0.77%,2.17%,1.42%,1.54%,0.00%,0.92%,1.54%,1.81%,2.30%,2.29%,1.66%,3.30%,3.48%,2.87%,1.24%,1.43%,4.75%,2.28%,1.99%,2.81%,3.62%,6.34%,3.82%,2.43%,2.07%,3.53%,2.90%,1.87%,0.42%,0.73%,1.46%,1.05%,3.66%,1.73%,3.37%,0.81%,1.41%,3.65%,1.64%,3.29%,2.82%,11.13%,0.00%,3.97%,2.15%,0.77%,0.18%,1.03%,1.30%,0.47%,0.25%,0.09%,1.35%,0.07%,1.90%,1.66%,1.78%,1.68%,1.95%,0.49%,1.00%,0.83%,0.91%,1.87%,1.45%,2.29%,0.79%,6.78%,1.14%,2.75%,0.61%,0.67%,0.63%,1.15%,13.29%,2.21%,0.28%,0.37%,1.02%,0.41%,0.00%,0.00%,1.17%,0.35%,1.18%,1.23%,1.08%,0.98%,1.28%,1.57%,10.33%,0.19%,2.57%,1.17%,1.84%,1.78%,0.56%,15.25%,1.21%,3.64%,5.68%,0.11%,1.46%,2.83%,2.17%,2.26%,0.17%,0.33%,2.27%,1.14%,0.82%,1.42%,9.04%,14.33%,0.35%,1.11%,2.11%,3.49%,0.71%,2.59%,8.21%,0.19%,13.67%,0.65%,3.03%,3.79%,0.19%,0.30%,0.00%,0.15%,0.25%,0.17%,0.71%,1.61%,0.12%,0.18%,0.33%,0.37%,1.51%,1.19%,1.26%,0.22%,0.27%,0.45%,1.15%,1.03%,0.54%,0.26%,0.32%,0.32%,14.67%,6.69%,6.16%,0.44%,1.37%,0.97%,0.42%,0.47%,0.57%,0.81%,0.25%,10.79%,6.81%,0.93%,5.81%,4.84%,16.05%,2.48%,2.41%,2.65%,2.79%,1.90%,2.02%,6.68%,0.12%,5.10%,4.05%,1.71%,0.93%,1.77%,0.56%,0.00%
"Speak English ""very well""",1.57%,1.10%,0.63%,0.51%,0.77%,3.68%,0.00%,0.08%,1.22%,0.11%,1.50%,0.34%,0.19%,0.53%,0.08%,1.38%,0.59%,1.89%,1.42%,1.54%,0.00%,0.92%,1.34%,1.52%,2.14%,2.11%,1.63%,3.27%,2.69%,2.18%,1.24%,1.26%,4.25%,2.10%,1.68%,2.36%,3.05%,4.93%,2.48%,2.27%,1.72%,2.05%,2.32%,1.37%,0.39%,0.50%,1.09%,0.90%,3.33%,1.65%,1.50%,0.80%,1.05%,2.87%,1.64%,2.69%,2.44%,11.13%,0.00%,3.97%,1.88%,0.68%,0.09%,0.91%,1.04%,0.30%,0.24%,0.09%,1.25%,0.07%,1.18%,1.02%,1.07%,0.97%,1.35%,0.21%,0.75%,0.49%,0.61%,1.40%,1.32%,1.26%,0.59%,3.67%,1.07%,1.86%,0.28%,0.40%,0.52%,0.89%,9.80%,2.08%,0.00%,0.27%,0.92%,0.41%,0.00%,0.00%,1.00%,0.29%,1.14%,0.90%,0.92%,0.87%,0.35%,1.47%,6.25%,0.17%,2.23%,0.99%,1.24%,1.46%,0.38%,8.61%,1.05%,2.17%,3.66%,0.08%,1.30%,1.96%,1.86%,1.40%,0.14%,0.29%,1.56%,1.07%,0.42%,0.95%,5.78%,7.91%,0.26%,0.82%,0.99%,3.06%,0.56%,1.85%,4.43%,0.14%,8.14%,0.55%,2.33%,2.03%,0.11%,0.26%,0.00%,0.13%,0.23%,0.12%,0.63%,1.61%,0.12%,0.17%,0.19%,0.33%,1.20%,0.80%,0.75%,0.09%,0.25%,0.34%,0.86%,0.91%,0.48%,0.25%,0.23%,0.25%,10.21%,3.34%,3.69%,0.44%,1.04%,0.77%,0.24%,0.39%,0.33%,0.55%,0.24%,7.69%,3.71%,0.82%,3.64%,2.90%,7.74%,0.00%,1.52%,1.35%,1.72%,1.38%,1.18%,6.68%,0.12%,3.47%,3.02%,1.08%,0.74%,0.97%,0.44%,0.00%
