,"New York, NY",07002,07008,07020,07024,07036,07064,07077,07202,07206,07305,07620,07632,07670,08861,10001,10002,10003,10004,10005,10006,10007,10009,10010,10011,10012,10013,10014,10016,10017,10018,10019,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10044,10065,10069,10075,10128,10162,10279,10280,10282,10301,10302,10303,10304,10305,10306,10307,10308,10309,10310,10312,10314,10451,10452,10453,10454,10455,10456,10457,10458,10459,10460,10461,10462,10463,10464,10465,10466,10467,10468,10469,10470,10471,10472,10473,10474,10475,10550,10704,10705,10803,11001,11003,11004,11005,11020,11021,11040,11042,11096,11101,11102,11103,11104,11105,11106,11109,11201,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11213,11214,11215,11216,11217,11218,11219,11220,11221,11222,11223,11224,11225,11226,11228,11229,11230,11231,11232,11233,11234,11235,11236,11237,11238,11239,11354,11355,11356,11357,11358,11360,11361,11362,11363,11364,11365,11366,11367,11368,11369,11370,11372,11373,11374,11375,11377,11378,11379,11385,11411,11412,11413,11414,11415,11416,11417,11418,11419,11420,11421,11422,11423,11426,11427,11428,11429,11430,11432,11433,11434,11435,11436,11509,11559,11580,11581,11691,11692,11693,11694,11697
Total:,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
White alone,42.73%,62.64%,54.42%,51.44%,49.87%,54.68%,62.16%,72.63%,34.25%,24.93%,19.46%,59.86%,51.20%,65.06%,79.30%,65.00%,32.02%,75.37%,60.96%,75.07%,73.48%,77.78%,61.62%,69.60%,80.55%,73.63%,58.04%,88.92%,71.87%,74.25%,59.53%,66.83%,84.49%,83.27%,78.82%,82.35%,66.19%,28.02%,31.92%,85.92%,34.87%,16.40%,31.43%,29.05%,41.10%,39.46%,20.95%,63.48%,10.18%,53.09%,14.18%,36.81%,42.93%,84.14%,63.03%,82.71%,79.25%,91.86%,100.00%,75.15%,75.53%,60.16%,58.42%,46.80%,51.15%,71.18%,83.65%,91.25%,92.54%,93.17%,59.93%,91.62%,73.48%,14.01%,13.84%,9.54%,16.56%,13.93%,12.52%,18.09%,16.83%,12.55%,18.42%,48.53%,23.22%,46.67%,68.06%,58.82%,11.65%,24.05%,15.83%,17.62%,42.54%,67.93%,12.76%,36.27%,9.69%,15.99%,11.67%,66.64%,41.89%,75.25%,64.40%,22.06%,41.01%,97.61%,43.56%,68.04%,49.72%,68.18%,43.90%,42.02%,60.13%,70.15%,62.93%,76.97%,53.34%,65.02%,64.25%,4.42%,56.75%,51.38%,46.44%,15.10%,27.23%,73.26%,31.66%,74.91%,8.44%,24.31%,47.95%,77.28%,31.26%,58.05%,60.62%,66.68%,31.13%,27.69%,82.52%,56.83%,57.32%,28.49%,15.99%,53.82%,63.77%,71.11%,66.31%,44.83%,10.95%,41.24%,75.45%,5.73%,37.19%,49.89%,29.68%,19.95%,12.41%,31.49%,68.58%,41.55%,57.04%,48.53%,48.83%,57.71%,40.03%,33.26%,41.84%,54.69%,36.44%,25.96%,42.08%,54.42%,17.90%,53.42%,60.01%,47.24%,71.88%,77.84%,80.95%,3.24%,2.50%,2.42%,80.50%,60.68%,28.29%,36.17%,39.48%,9.58%,16.69%,41.40%,6.40%,13.01%,37.02%,26.80%,20.98%,3.93%,16.50%,18.67%,4.29%,3.61%,17.85%,5.16%,94.38%,86.43%,33.44%,52.87%,36.99%,22.28%,61.27%,82.05%,94.99%
Black or African American alone,24.31%,10.58%,13.29%,5.26%,2.52%,29.35%,14.75%,10.81%,15.57%,21.35%,45.98%,5.82%,1.27%,2.94%,8.18%,6.26%,8.91%,5.57%,4.26%,1.08%,3.20%,8.23%,8.62%,9.38%,4.44%,2.68%,3.81%,1.39%,3.85%,1.98%,5.25%,6.02%,0.66%,1.51%,4.65%,4.22%,11.57%,51.24%,37.72%,1.53%,32.72%,62.17%,28.03%,19.11%,10.34%,13.91%,40.17%,7.65%,71.22%,9.33%,62.51%,9.85%,12.60%,2.34%,3.77%,3.17%,3.56%,0.00%,0.00%,2.67%,0.99%,23.57%,21.98%,34.28%,29.00%,7.39%,3.43%,0.42%,1.19%,0.70%,21.42%,0.91%,3.72%,39.73%,32.62%,33.61%,33.19%,30.39%,46.31%,44.98%,19.02%,32.71%,34.34%,9.42%,28.71%,16.27%,0.02%,13.30%,71.50%,35.51%,25.25%,56.55%,42.78%,11.19%,27.40%,39.49%,42.00%,64.34%,74.91%,14.45%,21.05%,9.33%,5.85%,48.26%,6.15%,0.00%,10.39%,2.22%,1.49%,24.51%,20.20%,14.93%,9.16%,2.59%,2.06%,2.51%,7.73%,0.92%,13.20%,88.98%,1.25%,31.00%,24.65%,65.25%,53.76%,3.17%,58.67%,6.46%,79.83%,65.21%,1.97%,4.60%,53.99%,20.35%,7.89%,1.19%,2.81%,46.94%,3.58%,4.67%,22.13%,60.91%,67.98%,1.29%,6.14%,7.44%,15.30%,7.19%,76.99%,45.28%,2.17%,85.98%,13.82%,34.11%,58.69%,3.19%,3.36%,2.39%,0.62%,0.83%,1.16%,4.35%,3.39%,1.94%,3.82%,9.53%,5.85%,7.28%,9.25%,17.14%,14.35%,2.75%,2.01%,4.24%,2.70%,3.01%,1.82%,1.11%,2.62%,92.85%,87.88%,91.46%,2.64%,6.99%,6.22%,7.24%,8.33%,15.96%,25.39%,4.26%,84.08%,38.89%,6.03%,20.82%,21.41%,73.06%,67.48%,16.15%,64.43%,85.91%,24.42%,62.87%,1.51%,1.26%,33.22%,20.79%,46.94%,59.82%,21.85%,6.55%,0.63%
American Indian and Alaska Native alone,0.43%,0.34%,0.45%,0.00%,0.24%,0.57%,0.00%,0.00%,0.58%,0.82%,0.54%,0.00%,0.24%,0.00%,0.07%,0.07%,0.97%,0.15%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.15%,0.00%,0.32%,0.00%,0.24%,0.00%,0.19%,0.80%,0.38%,0.25%,0.11%,0.30%,0.09%,0.19%,0.61%,0.00%,0.64%,0.09%,0.46%,0.72%,1.16%,0.22%,0.54%,0.56%,0.33%,0.25%,0.44%,0.88%,0.00%,0.03%,0.00%,1.28%,0.04%,0.00%,0.00%,0.98%,0.00%,0.15%,1.26%,0.12%,0.25%,0.33%,0.06%,0.13%,0.09%,0.33%,0.26%,0.15%,0.14%,0.31%,0.39%,0.56%,1.38%,0.88%,1.31%,0.51%,0.39%,0.59%,0.49%,0.77%,0.96%,0.67%,0.00%,0.03%,1.20%,0.62%,0.83%,0.63%,0.04%,0.15%,1.25%,0.39%,0.56%,1.24%,0.86%,0.27%,1.05%,0.00%,0.38%,0.16%,0.50%,0.00%,0.24%,0.79%,0.45%,0.00%,0.00%,0.80%,0.08%,0.19%,0.32%,0.07%,0.16%,0.00%,0.32%,0.19%,0.30%,0.61%,0.59%,0.24%,0.21%,0.32%,0.09%,0.54%,0.09%,0.22%,0.28%,0.16%,0.28%,0.08%,0.58%,0.33%,0.45%,0.60%,0.19%,0.36%,0.16%,0.23%,0.30%,0.16%,0.25%,0.39%,0.57%,1.48%,0.11%,0.31%,0.10%,0.12%,1.19%,0.07%,2.00%,0.20%,0.53%,0.19%,0.10%,0.47%,0.12%,0.03%,0.00%,0.00%,0.83%,0.39%,0.00%,0.51%,0.80%,0.32%,1.24%,0.35%,0.69%,0.10%,0.20%,0.42%,0.39%,0.31%,0.17%,0.07%,0.72%,0.36%,0.00%,1.10%,0.05%,0.25%,0.87%,0.90%,0.99%,0.66%,1.05%,0.37%,0.42%,1.20%,0.41%,0.83%,0.00%,0.65%,0.05%,0.05%,0.69%,0.24%,0.68%,0.61%,0.05%,0.04%,0.27%,0.82%,0.00%,1.02%,0.00%
Asian alone,14.09%,9.93%,20.71%,38.15%,42.48%,3.63%,14.47%,2.85%,1.84%,0.73%,15.83%,30.90%,42.45%,27.76%,1.15%,22.30%,41.89%,14.47%,29.75%,17.73%,16.04%,10.49%,14.22%,16.44%,8.78%,18.22%,31.42%,4.82%,20.31%,21.29%,27.95%,19.11%,8.59%,12.05%,10.46%,7.95%,9.69%,6.28%,9.46%,9.82%,9.20%,2.27%,4.18%,4.58%,2.33%,2.92%,4.17%,18.28%,2.79%,29.77%,1.59%,2.98%,34.28%,11.46%,29.33%,6.11%,9.91%,4.85%,0.00%,16.53%,19.89%,6.32%,9.43%,7.73%,11.07%,14.89%,7.33%,4.55%,4.99%,3.36%,5.73%,5.34%,16.94%,1.36%,1.68%,1.49%,0.28%,0.93%,0.66%,0.98%,3.02%,0.55%,1.50%,12.28%,13.57%,3.90%,5.01%,2.79%,2.84%,5.80%,2.32%,6.21%,2.95%,5.65%,8.12%,1.55%,0.18%,2.44%,1.68%,7.01%,5.23%,7.75%,21.41%,13.42%,43.12%,2.39%,42.41%,24.36%,37.95%,4.35%,4.68%,24.68%,15.95%,13.87%,24.24%,11.45%,21.06%,30.35%,12.39%,1.83%,32.96%,6.33%,6.75%,1.79%,6.01%,13.25%,4.06%,5.59%,1.12%,2.31%,37.00%,8.13%,5.30%,8.39%,18.66%,23.77%,41.43%,3.48%,4.39%,25.15%,7.47%,2.84%,3.09%,37.47%,22.99%,13.31%,5.87%,18.57%,1.94%,7.25%,13.67%,2.69%,6.84%,5.98%,3.82%,64.07%,72.58%,32.23%,23.27%,47.58%,37.02%,41.35%,41.69%,33.67%,50.28%,44.41%,44.02%,27.28%,12.16%,13.13%,22.69%,21.04%,48.72%,31.57%,28.80%,37.13%,10.27%,11.03%,6.52%,0.27%,2.57%,1.21%,4.23%,16.24%,33.07%,30.19%,23.55%,34.35%,32.69%,19.85%,2.23%,28.70%,43.79%,33.70%,26.15%,4.52%,2.91%,42.53%,9.67%,3.11%,23.36%,9.07%,1.09%,2.45%,14.46%,13.67%,3.32%,5.29%,4.41%,2.92%,0.65%
Native Hawaiian and Other Pacific Islander alone,0.06%,0.35%,0.22%,0.32%,0.07%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.28%,0.00%,0.00%,0.09%,0.03%,0.14%,0.51%,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.10%,0.21%,0.00%,0.00%,0.00%,0.01%,0.09%,0.01%,0.00%,0.14%,0.33%,0.10%,0.15%,0.00%,0.25%,0.07%,0.05%,0.04%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.11%,0.00%,0.10%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.08%,0.00%,0.33%,0.00%,0.06%,0.26%,0.17%,0.05%,0.06%,0.06%,0.24%,0.11%,0.03%,0.10%,0.00%,0.02%,0.07%,0.08%,0.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.03%,0.34%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.20%,0.04%,0.11%,0.00%,0.00%,0.02%,0.00%,0.08%,0.00%,0.01%,0.01%,0.14%,0.08%,0.06%,0.09%,0.00%,0.02%,0.06%,0.02%,0.01%,0.00%,0.02%,0.04%,0.00%,0.02%,0.00%,0.02%,0.00%,0.20%,0.01%,0.00%,0.00%,0.08%,0.05%,0.03%,0.80%,0.07%,0.02%,0.00%,0.00%,0.01%,0.10%,0.03%,0.00%,0.01%,0.04%,0.32%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.03%,0.00%,0.00%,0.01%,0.02%,0.00%,0.13%,0.01%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.24%,0.14%,0.00%,0.08%,0.11%,0.02%,0.00%,0.07%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.12%,0.00%,0.21%,0.03%,0.00%,0.01%,0.00%,0.00%,0.00%,0.04%,0.05%,0.06%,0.00%,0.00%,0.00%,0.00%
Some other race alone,14.75%,11.93%,8.11%,1.35%,2.14%,7.97%,4.43%,3.96%,44.28%,49.09%,15.07%,1.23%,0.00%,2.37%,8.78%,3.31%,11.98%,2.14%,1.05%,2.49%,2.36%,1.43%,11.56%,1.90%,2.87%,2.02%,2.60%,0.99%,1.17%,0.97%,3.40%,3.85%,3.06%,0.75%,3.69%,2.66%,8.05%,9.36%,15.32%,0.96%,19.14%,13.07%,19.60%,36.30%,35.82%,37.86%,30.03%,6.57%,10.64%,2.56%,15.54%,42.49%,4.61%,0.55%,0.00%,3.44%,3.16%,0.00%,0.00%,0.08%,0.24%,5.16%,5.93%,8.01%,6.95%,3.95%,2.43%,2.66%,0.66%,1.46%,9.03%,0.86%,3.00%,39.39%,47.22%,51.38%,45.42%,50.36%,35.62%,32.18%,56.87%,49.92%,41.44%,23.97%,28.48%,26.29%,23.42%,21.58%,10.02%,29.71%,52.36%,15.30%,8.72%,10.49%,46.84%,18.02%,43.70%,10.99%,8.27%,9.32%,25.22%,3.27%,6.01%,11.18%,4.21%,0.00%,1.91%,2.53%,7.41%,1.58%,30.24%,12.42%,10.96%,9.58%,7.11%,5.56%,12.86%,0.57%,3.95%,2.93%,6.64%,6.71%,17.44%,15.19%,10.65%,5.86%,3.76%,9.05%,7.33%,4.60%,9.72%,4.30%,4.35%,8.18%,7.75%,7.05%,21.21%,17.42%,4.61%,9.40%,9.82%,4.26%,10.40%,4.84%,3.92%,4.70%,6.08%,23.44%,7.76%,4.28%,4.90%,4.07%,36.97%,4.20%,4.58%,9.49%,8.95%,28.79%,4.91%,6.85%,3.13%,4.30%,3.32%,4.13%,3.05%,7.63%,5.31%,5.65%,38.74%,39.94%,17.52%,17.65%,28.28%,5.20%,3.37%,8.96%,12.01%,7.13%,7.10%,2.13%,4.15%,2.97%,7.09%,11.16%,25.15%,20.77%,21.74%,32.70%,18.05%,26.76%,3.91%,14.61%,8.69%,12.67%,19.68%,14.54%,13.11%,17.05%,19.25%,4.86%,29.78%,16.99%,0.94%,9.25%,14.06%,8.93%,9.42%,9.65%,7.51%,6.31%,3.73%
Two or more races:,3.63%,4.22%,2.79%,3.47%,2.67%,3.69%,4.19%,9.74%,3.48%,3.08%,3.13%,2.20%,4.57%,1.87%,2.52%,2.97%,4.20%,2.16%,3.48%,3.62%,4.92%,2.07%,3.84%,2.68%,3.21%,3.45%,3.81%,3.87%,2.51%,1.52%,3.69%,3.29%,2.61%,2.18%,2.27%,2.51%,4.39%,4.81%,4.96%,1.77%,3.29%,5.67%,16.22%,10.10%,9.25%,5.38%,4.06%,3.41%,4.79%,5.00%,5.70%,6.99%,5.58%,1.48%,3.87%,3.30%,4.07%,3.30%,0.00%,4.58%,3.35%,4.62%,2.88%,3.05%,1.49%,2.23%,3.10%,0.99%,0.52%,0.99%,3.63%,1.03%,2.64%,5.20%,3.90%,3.42%,3.11%,3.24%,3.41%,3.22%,3.81%,3.62%,3.57%,4.92%,5.04%,6.10%,3.49%,3.45%,2.72%,4.23%,3.03%,3.69%,2.98%,4.58%,3.64%,4.28%,3.88%,5.01%,2.60%,2.29%,5.55%,4.40%,1.95%,4.88%,4.68%,0.00%,1.49%,2.06%,2.74%,1.38%,0.98%,4.94%,3.67%,3.51%,3.34%,3.43%,4.83%,3.14%,5.81%,1.65%,2.09%,3.95%,3.98%,2.35%,2.08%,4.03%,1.76%,3.44%,3.13%,3.33%,3.07%,5.54%,4.80%,4.90%,4.51%,0.97%,2.96%,3.85%,4.72%,3.38%,3.09%,3.27%,2.24%,2.35%,2.88%,3.01%,5.07%,4.43%,2.23%,1.64%,3.71%,1.41%,3.89%,5.73%,1.22%,3.08%,2.12%,4.59%,2.48%,2.71%,1.54%,1.44%,2.78%,2.55%,1.97%,4.74%,2.99%,4.59%,2.61%,3.48%,2.11%,3.66%,2.40%,5.46%,4.92%,3.24%,3.54%,2.59%,2.63%,1.44%,1.94%,1.44%,5.55%,3.76%,7.10%,5.36%,6.04%,6.44%,5.93%,7.09%,2.34%,4.41%,4.04%,4.82%,11.15%,2.99%,0.00%,4.74%,2.28%,2.46%,3.89%,5.66%,1.41%,0.00%,4.74%,3.65%,3.01%,2.14%,4.96%,1.14%,0.00%
Two races including Some other race,1.09%,1.42%,1.83%,0.11%,0.55%,1.02%,2.02%,4.04%,1.56%,1.04%,1.51%,0.19%,1.16%,0.12%,0.99%,0.16%,0.53%,0.34%,0.03%,0.18%,1.20%,0.50%,0.35%,0.56%,0.17%,0.18%,0.45%,0.40%,0.66%,0.00%,0.25%,0.91%,0.42%,0.19%,0.23%,0.47%,0.76%,1.45%,1.16%,0.27%,1.28%,1.60%,1.37%,6.46%,5.13%,2.38%,1.62%,0.53%,1.73%,0.38%,1.06%,2.11%,2.33%,0.11%,0.78%,0.00%,0.94%,0.00%,0.00%,0.00%,0.00%,0.55%,1.15%,0.46%,0.47%,0.15%,0.47%,0.00%,0.08%,0.28%,1.08%,0.02%,0.74%,2.09%,1.38%,1.40%,1.93%,1.58%,1.33%,1.73%,1.84%,1.82%,1.64%,2.45%,1.78%,1.86%,3.49%,0.98%,0.78%,1.63%,1.32%,2.34%,1.04%,1.46%,1.17%,2.01%,1.65%,1.86%,1.84%,0.55%,1.85%,0.34%,0.48%,2.03%,1.67%,0.00%,0.00%,0.05%,1.27%,0.00%,0.57%,0.87%,0.74%,1.01%,0.55%,0.91%,1.43%,0.00%,0.95%,0.50%,0.29%,0.62%,1.06%,0.73%,0.81%,1.14%,0.31%,0.90%,0.64%,0.55%,0.50%,0.60%,0.65%,0.48%,0.63%,0.30%,1.39%,1.26%,1.48%,0.20%,0.48%,0.81%,0.45%,0.76%,0.22%,0.41%,0.52%,1.00%,0.34%,0.40%,0.22%,0.28%,1.55%,0.74%,0.31%,1.06%,0.84%,2.47%,0.62%,0.51%,0.63%,0.40%,0.08%,0.00%,0.14%,2.24%,0.12%,0.86%,1.04%,1.32%,0.68%,1.37%,1.13%,0.77%,0.72%,0.96%,1.69%,1.11%,0.81%,0.85%,0.48%,0.36%,2.94%,0.89%,4.30%,2.70%,2.32%,3.52%,2.41%,5.56%,0.48%,1.81%,1.77%,2.58%,6.57%,1.48%,0.00%,1.39%,0.73%,1.00%,1.52%,2.76%,0.00%,0.00%,1.65%,2.61%,0.97%,1.16%,3.31%,0.00%,0.00%
