Zipcode,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
"New York, NY",42.73%,24.31%,0.43%,14.09%,0.06%,14.75%,3.63%,1.09%,2.54%
07002,62.64%,10.58%,0.34%,9.93%,0.35%,11.93%,4.22%,1.42%,2.80%
07008,54.42%,13.29%,0.45%,20.71%,0.22%,8.11%,2.79%,1.83%,0.96%
07020,51.44%,5.26%,0.00%,38.15%,0.32%,1.35%,3.47%,0.11%,3.36%
07024,49.87%,2.52%,0.24%,42.48%,0.07%,2.14%,2.67%,0.55%,2.12%
07036,54.68%,29.35%,0.57%,3.63%,0.11%,7.97%,3.69%,1.02%,2.67%
07064,62.16%,14.75%,0.00%,14.47%,0.00%,4.43%,4.19%,2.02%,2.17%
07077,72.63%,10.81%,0.00%,2.85%,0.00%,3.96%,9.74%,4.04%,5.71%
07202,34.25%,15.57%,0.58%,1.84%,0.00%,44.28%,3.48%,1.56%,1.92%
07206,24.93%,21.35%,0.82%,0.73%,0.00%,49.09%,3.08%,1.04%,2.04%
07305,19.46%,45.98%,0.54%,15.83%,0.00%,15.07%,3.13%,1.51%,1.61%
07620,59.86%,5.82%,0.00%,30.90%,0.00%,1.23%,2.20%,0.19%,2.00%
07632,51.20%,1.27%,0.24%,42.45%,0.28%,0.00%,4.57%,1.16%,3.41%
07670,65.06%,2.94%,0.00%,27.76%,0.00%,2.37%,1.87%,0.12%,1.76%
08861,79.30%,8.18%,0.07%,1.15%,0.00%,8.78%,2.52%,0.99%,1.53%
10001,65.00%,6.26%,0.07%,22.30%,0.09%,3.31%,2.97%,0.16%,2.82%
10002,32.02%,8.91%,0.97%,41.89%,0.03%,11.98%,4.20%,0.53%,3.67%
10003,75.37%,5.57%,0.15%,14.47%,0.14%,2.14%,2.16%,0.34%,1.82%
10004,60.96%,4.26%,0.00%,29.75%,0.51%,1.05%,3.48%,0.03%,3.45%
10005,75.07%,1.08%,0.00%,17.73%,0.00%,2.49%,3.62%,0.18%,3.44%
10006,73.48%,3.20%,0.00%,16.04%,0.00%,2.36%,4.92%,1.20%,3.72%
10007,77.78%,8.23%,0.00%,10.49%,0.00%,1.43%,2.07%,0.50%,1.57%
10009,61.62%,8.62%,0.12%,14.22%,0.02%,11.56%,3.84%,0.35%,3.49%
10010,69.60%,9.38%,0.00%,16.44%,0.00%,1.90%,2.68%,0.56%,2.13%
10011,80.55%,4.44%,0.15%,8.78%,0.01%,2.87%,3.21%,0.17%,3.03%
