,County,Zipcode,Rent Arrears Applications,Prospective Rent Applications,Utility Arrears Applications,Household Income,Total:,"Speak English ""very well"" TOTAL","Speak English less than ""very well"" TOTAL ",Speak only English,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
0,New York,10001,408,322,50,"$92,840 ",100.00%,19.58%,12.64%,67.77%,65.00%,6.26%,0.07%,22.30%,0.09%,3.31%,2.97%,0.16%,2.82%
1,New York,10002,"1,260",991,110,"$36,982 ",100.00%,22.89%,38.32%,38.79%,32.02%,8.91%,0.97%,41.89%,0.03%,11.98%,4.20%,0.53%,3.67%
2,New York,10003,302,257,58,"$118,161 ",100.00%,15.57%,4.87%,79.56%,75.37%,5.57%,0.15%,14.47%,0.14%,2.14%,2.16%,0.34%,1.82%
3,New York,10004,37,28,1,"$190,223 ",100.00%,20.68%,1.30%,78.02%,60.96%,4.26%,0.00%,29.75%,0.51%,1.05%,3.48%,0.03%,3.45%
4,New York,10005,80,69,7,"$189,702 ",100.00%,21.20%,2.63%,76.17%,75.07%,1.08%,0.00%,17.73%,0.00%,2.49%,3.62%,0.18%,3.44%
5,New York,10006,40,31,5,"$179,044 ",100.00%,22.96%,4.59%,72.46%,73.48%,3.20%,0.00%,16.04%,0.00%,2.36%,4.92%,1.20%,3.72%
6,New York,10007,29,22,4,"$224,063 ",100.00%,20.74%,5.42%,73.84%,77.78%,8.23%,0.00%,10.49%,0.00%,1.43%,2.07%,0.50%,1.57%
7,New York,10009,902,708,136,"$63,717 ",100.00%,22.13%,13.39%,64.48%,61.62%,8.62%,0.12%,14.22%,0.02%,11.56%,3.84%,0.35%,3.49%
8,New York,10010,190,142,19,"$132,988 ",100.00%,18.97%,6.63%,74.40%,69.60%,9.38%,0.00%,16.44%,0.00%,1.90%,2.68%,0.56%,2.13%
9,New York,10011,423,339,59,"$138,272 ",100.00%,17.17%,4.31%,78.52%,80.55%,4.44%,0.15%,8.78%,0.01%,2.87%,3.21%,0.17%,3.03%
10,New York,10012,169,134,29,"$106,467 ",100.00%,17.09%,7.54%,75.37%,73.63%,2.68%,0.00%,18.22%,0.00%,2.02%,3.45%,0.18%,3.27%
11,New York,10013,165,137,27,"$113,191 ",100.00%,16.10%,19.39%,64.51%,58.04%,3.81%,0.32%,31.42%,0.00%,2.60%,3.81%,0.45%,3.36%
12,New York,10014,201,169,30,"$133,501 ",100.00%,13.32%,0.78%,85.90%,88.92%,1.39%,0.00%,4.82%,0.00%,0.99%,3.87%,0.40%,3.47%
13,New York,10016,423,348,49,"$126,628 ",100.00%,21.15%,7.52%,71.34%,71.87%,3.85%,0.24%,20.31%,0.05%,1.17%,2.51%,0.66%,1.85%
14,New York,10017,97,85,17,"$131,045 ",100.00%,23.34%,7.36%,69.30%,74.25%,1.98%,0.00%,21.29%,0.00%,0.97%,1.52%,0.00%,1.52%
15,New York,10018,133,98,28,"$122,484 ",100.00%,24.43%,16.16%,59.42%,59.53%,5.25%,0.19%,27.95%,0.00%,3.40%,3.69%,0.25%,3.44%
16,New York,10019,679,556,105,"$103,792 ",100.00%,27.80%,9.85%,62.35%,66.83%,6.02%,0.80%,19.11%,0.10%,3.85%,3.29%,0.91%,2.38%
17,New York,10021,200,171,33,"$122,169 ",100.00%,18.48%,3.99%,77.53%,84.49%,0.66%,0.38%,8.59%,0.21%,3.06%,2.61%,0.42%,2.19%
18,New York,10022,162,136,25,"$150,718 ",100.00%,19.33%,4.19%,76.48%,83.27%,1.51%,0.25%,12.05%,0.00%,0.75%,2.18%,0.19%,1.99%
19,New York,10023,407,320,51,"$132,605 ",100.00%,20.91%,5.10%,73.99%,78.82%,4.65%,0.11%,10.46%,0.00%,3.69%,2.27%,0.23%,2.04%
20,New York,10024,361,293,45,"$143,623 ",100.00%,16.73%,5.11%,78.17%,82.35%,4.22%,0.30%,7.95%,0.00%,2.66%,2.51%,0.47%,2.04%
21,New York,10025,"1,166",915,162,"$91,624 ",100.00%,23.69%,13.07%,63.24%,66.19%,11.57%,0.09%,9.69%,0.01%,8.05%,4.39%,0.76%,3.63%
22,New York,10026,"1,183",875,246,"$59,691 ",100.00%,25.40%,9.30%,65.29%,28.02%,51.24%,0.19%,6.28%,0.09%,9.36%,4.81%,1.45%,3.36%
23,New York,10027,"1,827","1,433",337,"$51,938 ",100.00%,27.77%,11.64%,60.59%,31.92%,37.72%,0.61%,9.46%,0.01%,15.32%,4.96%,1.16%,3.80%
24,New York,10028,312,258,51,"$122,969 ",100.00%,20.92%,3.00%,76.08%,85.92%,1.53%,0.00%,9.82%,0.00%,0.96%,1.77%,0.27%,1.49%
25,New York,10029,"2,358","1,776",287,"$33,720 ",100.00%,33.09%,18.97%,47.94%,34.87%,32.72%,0.64%,9.20%,0.14%,19.14%,3.29%,1.28%,2.01%
26,New York,10030,"1,362","1,048",318,"$42,348 ",100.00%,19.96%,13.79%,66.25%,16.40%,62.17%,0.09%,2.27%,0.33%,13.07%,5.67%,1.60%,4.08%
27,New York,10031,"1,775","1,424",457,"$53,660 ",100.00%,31.86%,24.98%,43.16%,31.43%,28.03%,0.46%,4.18%,0.10%,19.60%,16.22%,1.37%,14.84%
28,New York,10032,"1,588","1,293",356,"$53,525 ",100.00%,33.98%,35.92%,30.11%,29.05%,19.11%,0.72%,4.58%,0.15%,36.30%,10.10%,6.46%,3.64%
29,New York,10033,"1,465","1,213",311,"$63,093 ",100.00%,34.09%,37.36%,28.55%,41.10%,10.34%,1.16%,2.33%,0.00%,35.82%,9.25%,5.13%,4.12%
30,New York,10034,"1,296","1,039",303,"$54,406 ",100.00%,36.61%,34.29%,29.10%,39.46%,13.91%,0.22%,2.92%,0.25%,37.86%,5.38%,2.38%,3.00%
31,New York,10035,"1,395","1,084",239,"$29,799 ",100.00%,30.26%,16.22%,53.52%,20.95%,40.17%,0.54%,4.17%,0.07%,30.03%,4.06%,1.62%,2.44%
32,New York,10036,686,552,93,"$95,301 ",100.00%,26.42%,11.25%,62.32%,63.48%,7.65%,0.56%,18.28%,0.05%,6.57%,3.41%,0.53%,2.89%
33,New York,10037,919,697,152,"$46,263 ",100.00%,20.64%,9.94%,69.42%,10.18%,71.22%,0.33%,2.79%,0.04%,10.64%,4.79%,1.73%,3.07%
34,New York,10038,233,184,16,"$95,702 ",100.00%,20.19%,19.61%,60.21%,53.09%,9.33%,0.25%,29.77%,0.00%,2.56%,5.00%,0.38%,4.62%
